id|random_number
750|0.8876648307082089
751|0.3155344870745834
752|0.16715020983676643
753|0.7076030134324578
754|0.030223761903922286
755|0.619405902320703
756|0.9944232830875969
757|0.17071736601552334
758|0.9778168559314904
759|0.290753714535514
760|0.543685304178604
761|0.45452162577627686
762|0.8002779036511551
763|0.08014089907742139
764|0.6851428452042587
765|0.06595456268112221
766|0.4465784787862974
767|0.9612539976542398
768|0.33387782947159494
769|0.23058043931900174
770|0.7567125402063338
771|0.9618015449656493
772|0.43093781634205475
773|0.2071037557994848
774|0.824568659623351
775|0.9627212747580759
776|0.42063494554510317
777|0.11417131866515562
778|0.16496136877054646
779|0.5000878438957489
780|0.7148693950472903
781|0.19101973690420937
782|0.22613907465283
783|0.8263655282913681
784|0.568840876182171
785|0.8008089287899222
786|0.9697976732680674
787|0.6765154975426346
788|0.3997931882078959
789|0.8076929609862876
790|0.046665275665426886
791|0.11571653213152167
792|0.7913346543525943
793|0.05408386168815793
794|0.32907967929689264
795|0.49178165690811715
796|0.7154929418780563
797|0.06419164881089368
798|0.7082267866291534
799|0.8760074050091464
800|0.9458960195945084
801|0.5681496392499404
802|0.6859470146325725
803|0.498187124390035
804|0.3724842611552225
805|0.40589529952977554
806|0.977790396387607
807|0.20301071898862355
808|0.6012319609603232
809|0.6350161420411439
810|0.6032900775469113
811|0.6399371790519286
812|0.38844963387140174
813|0.10046402273520094
814|0.12880060495315138
815|0.36284488963240624
816|0.20962940877713288
817|0.9483909359353172
818|0.740964062474761
819|0.8008072198270109
820|0.0774428388861218
821|0.6465959482366322
822|0.7499114747153914
823|0.07318219339290177
824|0.9897009365567624
825|0.20150171200731537
826|0.3832034997154511
827|0.5534634326261783
828|0.7953614255026983
829|0.13759609212191004
830|0.09304832612433012
831|0.2003349536599579
832|0.6277285814269397
