id|random_number
83|0.1701971166312053
84|0.5520244436789297
85|0.5682819178858565
86|0.8647683660731027
87|0.2962099015952889
88|0.8630037234245305
89|0.3932950508437407
90|0.6324533615180334
91|0.5808994286688866
92|0.9311557586996559
93|0.2851280295452623
94|0.9585865775142968
95|0.8016416695916756
96|0.7584425119847867
97|0.5976895154118473
98|0.855052016254468
99|0.8145046934129491
100|0.380472165647731
101|0.028798007582756413
102|0.844302049195929
103|0.5410255794734671
104|0.6466613224056259
105|0.5024456865423276
106|0.4570488117742688
107|0.5662479808116714
108|0.7109194768612352
109|0.021163327997806403
110|0.16947946594133778
111|0.5698057464041868
112|0.5751606697848344
113|0.12724761995956968
114|0.7536926489291909
115|0.48189414018743804
116|0.6579223495983737
117|0.11979196487864763
118|0.6803984019666356
119|0.29186444248728416
120|0.5626317532023747
121|0.13494675108766374
122|0.9356881458417621
123|0.2267488241327693
124|0.33267270398244064
125|0.7912270450703085
126|0.04667828380546679
127|0.621467984585837
128|0.6916356543517659
129|0.047717786951566254
130|0.7980270890123621
131|0.40577954818162354
132|0.05162912748122661
133|0.7601689647264939
134|0.5220362829514296
135|0.45759857002672377
136|0.6249305051602966
137|0.08533641099387557
138|0.35943335602828375
139|0.48405661466618843
140|0.3044389347041514
141|0.02152492366455805
142|0.24630606413703082
143|0.8160705589999583
144|0.20176902341184655
145|0.6160140063258366
146|0.7357835342817017
147|0.20195651755462685
148|0.9024760771462423
149|0.37413881466171994
150|0.47846812675117756
151|0.8307711227132561
152|0.7983480540964696
153|0.6851898990267545
154|0.5251482243516912
155|0.7029000874590453
156|0.8721738972787652
157|0.665266868876839
158|0.9054609831980012
159|0.7692355079933751
160|0.7508842497021907
161|0.9573083864126619
162|0.3658207934629515
163|0.7631718579312087
164|0.3081269274185765
165|0.2918916106202598
